Site Number,Site Name,Country,City,State,Zip,Status
095,Novartis Investigative Site,Germany,Kiel,,24105,Completed
096,Novartis Investigative Site,Germany,Mainz,,55131,Completed
097,Novartis Investigative Site,Germany,Marburg,,35039,Completed
098,Novartis Investigative Site,Germany,Minden,,32429,Completed
099,Novartis Investigative Site,Germany,München,,81377,Completed
100,Novartis Investigative Site,Germany,Münster,,48157,Completed
101,Novartis Investigative Site,Germany,Stade,,21682,Completed
102,Novartis Investigative Site,Germany,Tübingen,,72076,Completed
103,Novartis Investigative Site,Greece,Athens,,115 27,Completed
104,Novartis Investigative Site,Greece,Athens,,18547,Completed
105,Novartis Investigative Site,Hungary,Budapest,,H 1122,Completed
106,Novartis Investigative Site,Hungary,Debrecen,,4032,Completed
107,Novartis Investigative Site,Hungary,Szeged,,H 6725,Completed
108,Novartis Investigative Site,Israel,Haifa,,3109601,Completed
109,Novartis Investigative Site,Israel,Jerusalem,,9112001,Completed
110,Novartis Investigative Site,Israel,Ramat Gan,,5265601,Completed
111,Novartis Investigative Site,Italy,Bari,BA,70124,Completed
112,Novartis Investigative Site,Italy,Bergamo,BG,24127,Completed
113,Novartis Investigative Site,Italy,Bologna,BO,40138,Completed
114,Novartis Investigative Site,Italy,Brescia,BS,25123,Completed
115,Novartis Investigative Site,Italy,Meldola,FC,47014,Completed
116,Novartis Investigative Site,Italy,Genova,GE,16132,Completed
117,Novartis Investigative Site,Italy,Monza,MB,20900,Completed
118,Novartis Investigative Site,Italy,Milan,MI,20133,Completed
119,Novartis Investigative Site,Italy,Milan,MI,20141,Completed
120,Novartis Investigative Site,Italy,Modena,MO,41124,Completed
121,Novartis Investigative Site,Italy,Padua,PD,35100,Completed
122,Novartis Investigative Site,Italy,Roma,RM,00167,Completed
123,Novartis Investigative Site,Italy,Siena,SI,53100,Completed
124,Novartis Investigative Site,Italy,Candiolo,TO,10060,Completed
125,Novartis Investigative Site,Italy,Torino,TO,10126,Completed
126,Novartis Investigative Site,Italy,Verona,VR,37134,Completed
127,Novartis Investigative Site,Italy,Napoli,,80131,Completed
128,Kyushu University Hospital,Japan,Fukuoka,Fukuoka,812-8582,Completed
129,Kyoto University Hospital,Japan,Sakyo Ku,Kyoto,606 8507,Completed
130,Osaka International Cancer Institute,Japan,Osaka,Osaka,541-8567,Completed
131,Tokyo Metropolitan Komagome Hospital,Japan,Bunkyo Ku,Tokyo,113-8677,Completed
132,National Cancer Hospital,Japan,Chuo Ku,Tokyo,104 0045,Completed
133,Novartis Investigative Site,Mexico,León,Guanajuato,37178,Completed
134,Novartis Investigative Site,Mexico,Guadalajara,Jalisco,44100,Completed
135,Novartis Investigative Site,Mexico,Mexico City,Mexico City,14080,Completed
136,Novartis Investigative Site,Netherlands,Leiden,South Holland,2333,Completed
137,Novartis Investigative Site,Netherlands,Amersfroort,,3818 ES,Completed
138,Novartis Investigative Site,Norway,Oslo,,0310,Completed
139,Novartis Investigative Site,Poland,Gdansk,,80 952,Completed
140,Novartis Investigative Site,Poland,Warsaw,,02 781,Completed
141,Novartis Investigative Site,Portugal,Lisbon,,1099 023,Completed
142,Novartis Investigative Site,Portugal,Porto,,4200-072,Completed
143,Novartis Investigative Site,Russia,Chelyabinsk,,454048,Completed
144,Novartis Investigative Site,Russia,Moscow,,115478,Completed
145,Novartis Investigative Site,Russia,Moscow,,143423,Completed
146,Novartis Investigative Site,Russia,Nizhny Novgorod,,603137,Completed
147,Novartis Investigative Site,Russia,Omsk,,644013,Completed
148,Novartis Investigative Site,Russia,Saint Petersburg,,197758,Completed
149,Novartis Investigative Site,Russia,Saint Petersburg,,198255,Completed
150,Novartis Investigative Site,Russia,Samara,,443011,Completed
151,Novartis Investigative Site,Spain,Málaga,Andalusia,29010,Completed
152,Novartis Investigative Site,Spain,Seville,Andalusia,41009,Completed
153,Novartis Investigative Site,Spain,Jerez de la Frontera,Cadiz,11407,Completed
154,Novartis Investigative Site,Spain,Badalona,Catalonia,08916,Completed
155,Novartis Investigative Site,Spain,Barcelona,Catalonia,08036,Completed
156,Novartis Investigative Site,Spain,A Coruña,Galicia,15006,Completed
157,Novartis Investigative Site,Spain,Oviedo,Principality of Asturias,33011,Completed
158,Novartis Investigative Site,Spain,Valencia,Valencia,46014,Completed
159,Novartis Investigative Site,Spain,Las Palmas de Gran Canaria,,35016,Completed
160,Novartis Investigative Site,Spain,Madrid,,28009,Completed
161,Novartis Investigative Site,Spain,Madrid,,28034,Completed
162,Novartis Investigative Site,Spain,Madrid,,28050,Completed
163,Novartis Investigative Site,Spain,Madrid,,28222,Completed
164,Novartis Investigative Site,Sweden,Gothenburg,,SE-413 45,Completed
165,Novartis Investigative Site,Sweden,Lund,,221 85,Completed
166,Novartis Investigative Site,Sweden,Stockholm,,SE 171 76,Completed
167,Novartis Investigative Site,Switzerland,Aarau,Canton of Aargau,5001,Completed
168,Novartis Investigative Site,Switzerland,Zurich,,8091,Completed
169,Novartis Investigative Site,Thailand,Songkhla,Hat Yai,90110,Completed
170,Novartis Investigative Site,Thailand,Bangkok,,10330,Completed
171,Novartis Investigative Site,United Kingdom,Truro,Cornwall,TR1 3LJ,Completed
172,Novartis Investigative Site,United Kingdom,Guildford,Surrey,GU2 7XX,Completed
173,Novartis Investigative Site,United Kingdom,Sutton,Surrey,SM2 5PT,Completed
174,Novartis Investigative Site,United Kingdom,Leicester,,LE1 5WW,Completed
175,Novartis Investigative Site,United Kingdom,London,,NW3 2QG,Completed
176,Novartis Investigative Site,United Kingdom,Manchester,,M20 2BX,Completed
177,Novartis Investigative Site,United Kingdom,Middlesbrough,,TS4 3BW,Completed
178,Novartis Investigative Site,United Kingdom,Preston,,PR2 9HT,Completed
179,Novartis Investigative Site,United Kingdom,Rickmansworth Road,,WD187HT,Completed
