Site Number,Site Name,Country,City,State,Zip,Status
113,Research Site,Poland,Bialystok,,15-435,Completed
114,Research Site,Poland,Gdansk,,80-546,Completed
115,Research Site,Poland,Krakow,,31-156,Completed
116,Research Site,Poland,Krakow,,31-261,Completed
117,Research Site,Poland,Krakow,,31-501,Completed
118,Research Site,Poland,Lublin,,20-044,Completed
119,Research Site,Poland,Warsaw,,04736,Completed
120,Research Site,Poland,Wroclaw,,51-685,Completed
121,Research Site,Russia,Novosibirsk,,630091,Completed
122,Research Site,Russia,Saint Petersburg,,191015,Completed
123,Research Site,Russia,Saint Petersburg,,194354,Completed
124,Research Site,Russia,Saint Petersburg,,199034,Completed
125,Research Site,Sweden,Gothenburg,,413 45,Completed
126,Research Site,Sweden,Helsingborg,,25220,Completed
127,Research Site,Sweden,Linköping,,587 58,Completed
128,Research Site,Sweden,Uddevalla,,451 80,Completed
129,Research Site,Switzerland,Olten,,4600,Completed
130,Research Site,Switzerland,Sankt Gallen,,9016,Completed
131,Research Site,Switzerland,Zollikerberg,,8125,Completed
132,Research Site,United Kingdom,Manchester,,M23 9LT,Completed
133,Research Site,United Kingdom,Northampton,,NN1 5BD,Completed
134,Research Site,United Kingdom,Oldham,,OL1 2JH,Completed
135,Research Site,United Kingdom,Swansea,,SA2 8QA,Completed
136,Research Site,United Kingdom,Wakefield,,WF1 4DG,Completed
